Phono,Ortho
k@t,cat
@t,at
b@t,bat
k@b,cab
k@S,cache
k@d,cad
k@J,cadge
k@f,calf
k@v,calve
k@m,cam
k@n,can
k@nt,cant
k@p,cap
k@st,cast
k@C,catch
k@tL,cattle
k@ti,catty
kct,caught
C@t,chat
kot,coat
kut,coot
kat,cot
kRt,curt
k^t,cut
f@t,fat
n@t,gnat
h@t,hat
kIt,kit
kYt,kite
m@t,mat
p@t,pat
r@t,rat
s@t,sat
t@t,tat
D@t,that
v@t,vat
kar,car
kart,cart
kc,caw
ki,cay
it,eat
ot,oat
